,ID,decimalLatitude,decimalLongitude,species,tangle,tlength,pangle,plength,langle,llength,wangle,wlength,bangle,blength,tipangle,tiplength,length_by_width,petiole_by_total
30,6808826,,,exaltata,0.746,1383.1170000000002,34.509,116.499,-158.69899999999998,2485.813,-72.618,1084.528,66.491,0.0,62.611999999999995,0.0,2.292068992,0.044767499
31,6809005,,,exaltata,0.662,1384.092,17.570999999999998,251.74599999999998,-164.71200000000002,3064.441,-76.23,1462.021,66.87,0.0,64.767,0.0,2.0960307680000003,0.07591429599999999
32,7137240,,,exaltata,-179.27200000000002,1416.114,112.932,254.081,-93.052,2986.236,-1.7269999999999999,1194.5430000000001,55.516999999999996,0.0,55.356,0.0,2.4998982869999997,0.07841239
33,7149185,,,exaltata,0.488,1410.0510000000002,96.95299999999999,165.215,-79.751,2203.154,2.622,1049.099,90.676,0.0,63.331,0.0,2.1000439419999997,0.069758978
34,7149186,,,exaltata,0.48700000000000004,1412.0510000000002,32.471,195.576,-154.221,2641.9390000000003,-60.67,1028.895,61.74,0.0,56.869,0.0,2.567744036,0.068925098
35,7149194,,,exaltata,0.971,1416.203,9.782,88.28399999999999,-175.575,2527.533,-87.34299999999999,1294.391,83.402,0.0,66.222,0.0,1.9526812219999998,0.033750067
36,7149212,,,exaltata,0.728,1416.114,119.539,137.928,-49.282,2348.494,-139.214,1077.7160000000001,72.2,0.0,66.05,0.0,2.179139959,0.055472482000000004
37,7149216,,,exaltata,0.653,1404.0910000000001,44.37,257.402,-139.613,2321.172,-46.403,1270.345,77.639,0.0,72.512,0.0,1.827198123,0.099823391
38,7149229,,,exaltata,0.488,1408.0510000000002,61.232,232.72299999999998,-126.525,1996.036,-33.510999999999996,1065.03,78.646,0.0,104.57600000000001,0.0,1.874159413,0.104418199
39,7344094,,,exaltata,90.28200000000001,1221.015,93.27,210.343,-59.556000000000004,1645.94,28.266,677.827,50.82899999999999,0.0,60.607,0.0,2.428259718,0.11331408
40,8057210,,,exaltata,-0.33299999999999996,1376.023,49.763999999999996,204.35299999999998,-134.391,2927.587,-38.696,978.8969999999999,81.093,0.0,38.896,0.0,2.990699737,0.065248057
41,8057211,,,exaltata,-0.168,1368.006,126.87,100.0,-27.296,1683.4489999999998,64.654,672.7610000000001,89.90799999999999,0.0,47.651,0.0,2.5022987359999997,0.05607113
42,8504770,43.116848,-83.24420699999999,exaltata,90.0,1011.0,23.962,88.64,-163.674,1366.0810000000001,-74.148,505.213,66.02,0.0,50.178999999999995,0.0,2.703970405,0.06093264599999999
43,8704152,36.433583,-81.16408299999999,exaltata,-0.488,1408.0510000000002,24.656,268.47700000000003,-172.36700000000002,1957.345,-85.09100000000001,654.4,62.842,0.0,35.259,0.0,2.991052873,0.120619259
44,8704153,36.277139,-81.715333,exaltata,0.0,1408.0,129.806,124.964,-52.125,2371.565,39.019,597.22,45.766999999999996,0.0,35.005,0.0,3.971007334,0.05005509599999999
45,8704156,36.209294,-81.778444,exaltata,0.163,1404.006,-147.875,203.09599999999998,36.022,2972.3259999999996,-52.388999999999996,989.683,55.423,0.0,70.91,0.0,3.003311161,0.063958743
46,8752356,,,exaltata,90.0,1086.0,101.725,162.388,-80.197,1991.0710000000001,10.433,960.8860000000001,70.046,0.0,65.875,0.0,2.072119898,0.075407983
47,8752357,,,exaltata,90.31700000000001,1083.017,26.996,178.44299999999998,-139.78,2443.776,-41.516999999999996,977.613,57.28,0.0,54.141999999999996,0.0,2.499737626,0.06805038
48,8752358,,,exaltata,90.0,1092.0,-97.22399999999999,214.704,90.186,1845.01,1.548,555.203,33.133,0.0,42.941,0.0,3.323126856,0.104239715
49,8752359,,,exaltata,90.0,1086.0,34.902,157.293,-148.11,1633.6729999999998,-51.37,599.0830000000001,53.217,0.0,52.571000000000005,0.0,2.7269560310000003,0.087825788
50,8752360,,,exaltata,90.421,1088.029,42.273999999999994,133.795,-136.382,2374.448,-42.994,1091.027,70.736,0.0,55.832,0.0,2.176342107,0.05334212
51,8885833,,,exaltata,-0.131,1314.003,-12.339,98.27,174.459,1211.662,-95.896,554.935,63.916000000000004,0.0,58.253,0.0,2.183430492,0.075019161
52,9287123,,,exaltata,0.086,1336.001,13.109000000000002,149.907,164.45,1395.067,-107.027,669.34,101.79700000000001,0.0,50.217,0.0,2.0842426869999997,0.09702881699999999
53,9291902,38.3659,-80.4831,exaltata,0.17300000000000001,1324.006,117.979,144.941,-75.045,2480.0029999999997,12.588,844.294,58.72,0.0,43.816,0.0,2.9373689730000003,0.055216797000000005
54,9316460,,,exaltata,0.0,1332.0,8.652999999999999,186.118,168.40400000000002,1731.335,-108.646,688.1160000000001,73.762,0.0,42.272,0.0,2.5160510730000003,0.097065221
55,9338258,,,exaltata,-0.342,1340.024,56.056000000000004,250.727,-122.63,2099.345,-27.121,921.303,70.77600000000001,0.0,58.916000000000004,0.0,2.27866945,0.106689072
